
2023-08-26,1.0,2.0,3.0,4.0,9.0,8.0,11.0,12.0,100.0,6.0,7.0,8.0,13.0,14.0,15.0,16.0,-99.0,-4.0,-4.0,-4.0,-4.0,-6.0,-4.0,-4.0,-111.0,-18.0
2023-08-27,50000.0,50000.0,50000.0,50000.0,60000.0,60000.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,50000.0,50000.0,60000.0,60000.0,60000.0,60000.0,200000.0,240000.0
2023-08-27,4500.0,4600.0,5500.0,5600.0,0.0,0.0,0.0,0.0,4550.0,4670.0,5600.0,5800.0,0.0,0.0,0.0,0.0,-50.0,-70.0,-100.0,-200.0,0.0,0.0,0.0,0.0,-420.0,0.0
2023-08-28,4550.0,4670.0,5600.0,5800.0,5500.0,5500.0,6500.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4550.0,-4670.0,-5600.0,-5800.0,-5500.0,-5500.0,-6500.0,-6300.0,-20620.0,-23800.0
2023-08-29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2023-08-30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,20.0,30.0,30.0,20.0,20.0,20.0,20.0,2.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,52.0,40.0
2023-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,30.0,30.0,20.0,20.0,20.0,20.0,12.0,20.0,30.0,30.0,20.0,20.0,20.0,20.0,92.0,80.0
2023-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2000.0,7000.0,7999.0,10000.0,10000.0,9999.0,10000.0,4000.0,2000.0,7000.0,7999.0,10000.0,10000.0,9999.0,10000.0,20999.0,39999.0
2023-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5000.0,6000.0,7000.0,8000.0,9000.0,2000.0,3000.0,10000.0,5000.0,6000.0,7000.0,8000.0,9000.0,2000.0,3000.0,28000.0,22000.0
2023-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5000.0,6000.0,7000.0,8000.0,9000.0,2000.0,3000.0,10000.0,5000.0,6000.0,7000.0,8000.0,9000.0,2000.0,3000.0,28000.0,22000.0
2023-10-18,1000.0,100000.0,20000.0,200000.0,5000.0,10000.0,2000.0,222222.0,1000.0,100000.0,20000.0,200000.0,5000.0,10000.0,2000.0,222222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
